entityID:ID,name,:LABEL
930,李文,Person
931,隋先凯,Person
932,马群,Person
933,张庆伟,Person
934,何雨欣,Person
935,张进刚,Person
936,斯瓦拉杰,Person
937,汤加,Person
938,刘玉龙,Person
939,李战芳,Person
940,董乃德,Person
941,刘铮,Person
942,李佩宣,Person
943,孙孚凌,Person
944,郭丹,Person
945,莫尼,Person
946,何代欣,Person
947,彭子洋,Person
948,张千千,Person
949,冯正霖,Person
950,程实,Person
951,迪亚斯－卡内尔,Person
952,苏世民,Person
953,杨依军,Person
954,施泰因迈尔,Person
955,林远,Person
956,列宁,Person
957,熊丰,Person
958,王建军,Person
959,王超,Person
960,梁万年,Person
961,胡攀,Person
962,蒋皓,Person
963,杜昱葆,Person
964,郑阜高铁,Person
965,陈诚,Person
966,物阜民丰,Person
967,王申,Person
968,巴库,Person
969,王滋,Person
970,张芳曼,Person
971,济青,Person
972,杨顺丕,Person
973,叶青,Person
974,陈晓根,Person
975,武殿森,Person
976,陈暐,Person
977,马西亮,Person
978,姜大明,Person
979,孔祥忠,Person
980,黄秋葵,Person
981,崔文苑,Person
982,张雪,Person
983,祝君壁,Person
984,博雷利,Person
985,刘向东,Person
986,库克,Person
987,陈金甫,Person
988,迪卡侬,Person
989,加尼,Person
990,韩文秀,Person
991,李成钢,Person
992,蒋华栋,Person
993,余建斌,Person
994,郝鹏,Person
995,关建武,Person
996,毛群安,Person
997,王陆进,Person
998,王曦,Person
999,皮埃尔,Person
1000,库尔茨,Person
1001,李花,Person
1002,刘浩军,Person
1003,李建新,Person
1004,敏昂莱,Person
1005,骆珺,Person
1006,毛振华,Person
1007,常霍尔,Person
1008,陆东福,Person
1009,安倍晋,Person
1010,乔宝云,Person
1011,帕特鲁舍夫,Person
1012,屈冬玉,Person
1013,李建敏,Person
1014,徐工,Person
1015,亚方,Person
1016,向日葵,Person
1017,曾祥辉,Person
1018,宋赛,Person
1019,孙瑞博,Person
1020,杨磊,Person
1021,立秋,Person
1022,桑百川,Person
1023,谭晶晶,Person
1024,张春祥,Person
1025,章朔,Person
1026,贾格纳特,Person
1027,钱颖一,Person
1028,尹蔚民,Person
1029,阳知涵,Person
1030,普密蓬,Person
1031,孙奇亮,Person
1032,克里,Person
1033,刘阳,Person
1034,黄晓芳,Person
1035,沃尔夫,Person
1036,康京,Person
1037,倪瑞捷,Person
1038,金振娅,Person
1039,刘建国,Person
1040,盛佳鹏,Person
1041,刘世虎,Person
1042,张天佐,Person
1043,董登新,Person
1044,赖斯,Person
1045,何维达,Person
1046,高培勇,Person
1047,尼尔森,Person
1048,樊勇,Person
1049,王晓晖,Person
1050,刘东生,Person
1051,刘诗瑶,Person
1052,薛其坤,Person
1053,赵庆明,Person
1054,林毅夫,Person
1055,戴东昌,Person
1056,郑国光,Person
1057,方星海,Person
1058,严冰,Person
1059,刘晓峰,Person
1060,李发顺,Person
1061,汤继强,Person
1062,孙华山,Person
1063,GB,Person
1064,陈振海,Person
1065,李超,Person
1066,张欣,Person
1067,孟建柱,Person
1068,郑和,Person
1069,杨植森,Person
1070,昌赣,Person
1071,密克,Person
1072,周建平,Person
1073,王建华,Person
1074,丁洪法,Person
1075,郑万,Person
1076,蔡华伟,Person
1077,孔戴,Person
1078,王福东,Person
1079,郑焕松,Person
1080,郭永旭,Person
1081,高俊平,Person
1082,刘学民,Person
1083,景海鹏,Person
1084,陈文辉,Person
1085,王小涵,Person
1086,徐兰,Person
1087,孙大伟,Person
1088,卫生部,Department
1089,菅义伟,Person
1090,中国银监会,Department
1091,张强,Person
1092,联合国海洋法公约,Department
1093,李福龙,Person
1094,刘振民,Person
1095,中山大学,Department
1096,绍伊古,Person
1097,三江源国,Department
1098,勒梅尔,Person
1099,张兆安,Person
1100,成贵,Person
1101,泽曼,Person
1102,田玉龙,Person
1103,王罡,Person
1104,张驰,Person
1105,马晓成,Person
1106,埃斯皮诺萨,Person
1107,张呼高铁,Person
1108,霍尔尼斯,Person
1109,韩勇,Person
1110,李洙墉,Person
1111,刘建伟,Person
1112,王俊,Person
1113,安凯,Person
1114,萧万长,Person
1115,金维刚,Person
1116,谢里夫,Person
1117,李万甫,Person
1118,王定昶,Person
1119,鲍贡蟹,Person
1120,陶有仓,Person
1121,莫宗荣,Person
1122,田蕊,Person
1123,邱富生,Person
1124,赵贝佳,Person
1125,郭兰峰,Person
1126,魏山忠,Person
1127,周平均,Person
1128,孙少龙,Person
1129,周玮,Person
1130,祝惠春,Person
1131,胡祖才,Person
1132,白剑峰,Person
1133,曾刚,Person
1134,汪玉凯,Person
1135,许达哲,Person
1136,屈信明,Person
1137,王丽丽,Person
1138,黄大年,Person
1139,温源,Person
1140,刘立峰,Person
1141,胡泽君,Person
1142,王某,Person
1143,张明,Person
1144,高攀,Person
1145,刘俊海,Person
1146,马杜,Person
1147,翟立新,Person
1148,马培华,Person
1149,邹志武,Person
1150,高凌云,Person
1151,张丽宾,Person
1152,张超群,Person
1153,赵博,Person
1154,河畅,Person
1155,毛雷尔,Person
1156,高燕,Person
1157,高新生,Person
1158,杨舟,Person
1159,同特朗普,Person
1160,张国荣,Person
1161,卡托维兹,Person
1162,吕桂明,Person
1163,刘跃进,Person
1164,林枫,Person
1165,高莉,Person
1166,石玉成,Person
1167,袭艳春,Person
1168,刘环宇,Person
1169,达瓦买提,Person
1170,达达埃,Person
1171,姜爱花,Person
1172,胡国林,Person
1173,井辉辉,Person
1174,冯永斌,Person
1175,杭州峰,Person
1176,普拉提,Person
1177,邓舸,Person
1178,李爱玲,Person
1179,王道树,Person
1180,毛鹏飞,Person
1181,kg,Person
1182,董雪,Person
1183,刘多,Person
1184,扎西,Person
1185,管涛,Person
1186,胡和平,Person
1187,董瑞丰,Person
1188,叶春,Person
1189,叶紫,Person
1190,佘惠敏,Person
1191,徐惠喜,Person
1192,王登峰,Person
1193,迪马约,Person
1194,李大伟,Person
1195,许安标,Person
1196,孟庆丰,Person
1197,胡晓炼,Person
1198,王贵强,Person
1199,魏哲哲,Person
1200,田晓航,Person
1201,陈彬,Person
1202,弗朗西斯,Person
1203,赵春亮,Person
1204,张晓峰,Person
1205,李建国,Person
1206,黄旭华,Person
1207,优素福,Person
1208,任志武,Person
1209,帕努埃洛,Person
1210,叶贞琴,Person
1211,郝源,Person
1212,纳木错,Person
1213,郝亚琳,Person
1214,李芒茫,Person
1215,孙玉山,Person
1216,李萌,Person
1217,王继林,Person
1218,艾茶,Person
1219,古尔松,Person
1220,朱鹤新,Person
1221,帕希尼扬,Person
1222,戴高乐,Person
1223,巴里,Person
1224,杜布,Person
1225,周群飞,Person
1226,吕薇,Person
1227,甘永荣,Person
1228,张正富,Person
1229,图伊拉埃帕,Person
1230,卡尼,Person
1231,袁海尧,Person
1232,王化娟,Person
1233,崔新钰,Person
1234,孙继文,Person
1235,费志荣,Person
1236,袁于飞,Person
1237,张立新,Person
1238,李军,Person
1239,张平,Person
1240,莫里森,Person
1241,王国生,Person
1242,龚献明,Person
1243,孙成海,Person
1244,刘金云,Person
1245,刘健,Person
1246,孙观发,Person
1247,贺勇,Person
1248,王忠禹,Person
1249,缪荣,Person
1250,吴月辉,Person
1251,org,Person
1252,陈冬,Person
1253,托马斯,Person
1254,雒树刚,Person
1255,郭丽岩,Person
1256,吴德金,Person
1257,邹澜,Person
1258,丛屹,Person
1259,尔塔什,Person
1260,斯蒂芬,Person
1261,王晓峰,Person
1262,比亚迪,Person
1263,梁明,Person
1264,王思北,Person
1265,陈昌智,Person
1266,韩启德,Person
1267,敏瑞,Person
1268,贾浩,Person
1269,采拉尔,Person
1270,李辉,Person
1271,张帆,Person
1272,张骞,Person
1273,索加瓦雷,Person
1274,向塘,Person
1275,施秉云,Person
1276,王新哲,Person
1277,拉德夫,Person
1278,刘畅,Person
1279,司伟,Person
1280,刘莲芬,Person
1281,张可,Person
1282,高铁西,Person
1283,吴氏,Person
1284,帕托,Person
1285,百松云屏,Person
1286,林樾,Person
1287,侯东涛,Person
1288,朱砂,Person
1289,高晓兵,Person
1290,王建康,Person
1291,化红霞,Person
1292,蔡增乐,Person
1293,方士英,Person
1294,莫拉莱斯,Person
1295,庄小学,Person
1296,若干措施,Person
1297,马西西,Person
1298,毕井泉,Person
1299,贝尔,Person
1300,周石平,Person
1301,邢窑,Person
1302,陈彩平,Person
1303,张建鑫,Person
1304,魏氏,Person
1305,戈利科娃,Person
1306,翟青,Person
1307,茂木敏,Person
1308,西亚尔托,Person
1309,费尔南德斯,Person
1310,穆希丁,Person
1311,陈海波,Person
1312,惠泽,Person
1313,李颖,Person
1314,杨志勇,Person
1315,冯华,Person
1316,林斯,Person
1317,洪天云,Person
