:START_ID,weight:float,:END_ID,:TYPE
0,13.0,202,CO_OCCUR_WITH
202,13.0,0,CO_OCCUR_WITH
0,7.0,203,CO_OCCUR_WITH
203,7.0,0,CO_OCCUR_WITH
0,18.0,204,CO_OCCUR_WITH
204,18.0,0,CO_OCCUR_WITH
0,55.5,205,CO_OCCUR_WITH
205,55.5,0,CO_OCCUR_WITH
0,4.0,206,CO_OCCUR_WITH
206,4.0,0,CO_OCCUR_WITH
0,55.5,207,CO_OCCUR_WITH
207,55.5,0,CO_OCCUR_WITH
0,54.5,209,CO_OCCUR_WITH
209,54.5,0,CO_OCCUR_WITH
0,15.5,210,CO_OCCUR_WITH
210,15.5,0,CO_OCCUR_WITH
0,24.5,211,CO_OCCUR_WITH
211,24.5,0,CO_OCCUR_WITH
0,3.5,212,CO_OCCUR_WITH
212,3.5,0,CO_OCCUR_WITH
0,9.0,213,CO_OCCUR_WITH
213,9.0,0,CO_OCCUR_WITH
0,12.5,214,CO_OCCUR_WITH
214,12.5,0,CO_OCCUR_WITH
0,17.0,215,CO_OCCUR_WITH
215,17.0,0,CO_OCCUR_WITH
0,15.5,216,CO_OCCUR_WITH
216,15.5,0,CO_OCCUR_WITH
0,16.0,217,CO_OCCUR_WITH
217,16.0,0,CO_OCCUR_WITH
0,1.0,218,CO_OCCUR_WITH
218,1.0,0,CO_OCCUR_WITH
0,48.0,219,CO_OCCUR_WITH
219,48.0,0,CO_OCCUR_WITH
0,53.0,220,CO_OCCUR_WITH
220,53.0,0,CO_OCCUR_WITH
0,15.5,221,CO_OCCUR_WITH
221,15.5,0,CO_OCCUR_WITH
0,43.0,222,CO_OCCUR_WITH
222,43.0,0,CO_OCCUR_WITH
0,13.0,223,CO_OCCUR_WITH
223,13.0,0,CO_OCCUR_WITH
0,1.5,224,CO_OCCUR_WITH
224,1.5,0,CO_OCCUR_WITH
0,13.5,225,CO_OCCUR_WITH
225,13.5,0,CO_OCCUR_WITH
0,17.5,226,CO_OCCUR_WITH
226,17.5,0,CO_OCCUR_WITH
0,10.5,227,CO_OCCUR_WITH
227,10.5,0,CO_OCCUR_WITH
0,10.0,228,CO_OCCUR_WITH
228,10.0,0,CO_OCCUR_WITH
0,3.5,229,CO_OCCUR_WITH
229,3.5,0,CO_OCCUR_WITH
0,17.5,230,CO_OCCUR_WITH
230,17.5,0,CO_OCCUR_WITH
0,4.5,231,CO_OCCUR_WITH
231,4.5,0,CO_OCCUR_WITH
0,8.0,232,CO_OCCUR_WITH
232,8.0,0,CO_OCCUR_WITH
0,37.5,233,CO_OCCUR_WITH
233,37.5,0,CO_OCCUR_WITH
0,12.0,234,CO_OCCUR_WITH
234,12.0,0,CO_OCCUR_WITH
0,5.5,235,CO_OCCUR_WITH
235,5.5,0,CO_OCCUR_WITH
0,11.5,236,CO_OCCUR_WITH
236,11.5,0,CO_OCCUR_WITH
0,8.0,237,CO_OCCUR_WITH
237,8.0,0,CO_OCCUR_WITH
0,15.5,238,CO_OCCUR_WITH
238,15.5,0,CO_OCCUR_WITH
0,9.5,239,CO_OCCUR_WITH
239,9.5,0,CO_OCCUR_WITH
0,13.5,240,CO_OCCUR_WITH
240,13.5,0,CO_OCCUR_WITH
0,1.0,241,CO_OCCUR_WITH
241,1.0,0,CO_OCCUR_WITH
0,8.0,242,CO_OCCUR_WITH
242,8.0,0,CO_OCCUR_WITH
0,8.5,243,CO_OCCUR_WITH
243,8.5,0,CO_OCCUR_WITH
0,8.5,244,CO_OCCUR_WITH
244,8.5,0,CO_OCCUR_WITH
0,35.5,245,CO_OCCUR_WITH
245,35.5,0,CO_OCCUR_WITH
0,11.0,246,CO_OCCUR_WITH
246,11.0,0,CO_OCCUR_WITH
0,10.5,247,CO_OCCUR_WITH
247,10.5,0,CO_OCCUR_WITH
0,24.0,248,CO_OCCUR_WITH
248,24.0,0,CO_OCCUR_WITH
0,12.0,249,CO_OCCUR_WITH
249,12.0,0,CO_OCCUR_WITH
0,40.5,250,CO_OCCUR_WITH
250,40.5,0,CO_OCCUR_WITH
0,7.0,251,CO_OCCUR_WITH
251,7.0,0,CO_OCCUR_WITH
0,10.5,252,CO_OCCUR_WITH
252,10.5,0,CO_OCCUR_WITH
0,12.5,253,CO_OCCUR_WITH
253,12.5,0,CO_OCCUR_WITH
0,10.5,254,CO_OCCUR_WITH
254,10.5,0,CO_OCCUR_WITH
0,17.5,255,CO_OCCUR_WITH
255,17.5,0,CO_OCCUR_WITH
0,10.5,256,CO_OCCUR_WITH
256,10.5,0,CO_OCCUR_WITH
0,6.0,257,CO_OCCUR_WITH
257,6.0,0,CO_OCCUR_WITH
0,12.0,258,CO_OCCUR_WITH
258,12.0,0,CO_OCCUR_WITH
0,2.0,259,CO_OCCUR_WITH
259,2.0,0,CO_OCCUR_WITH
0,44.5,260,CO_OCCUR_WITH
260,44.5,0,CO_OCCUR_WITH
0,15.5,261,CO_OCCUR_WITH
261,15.5,0,CO_OCCUR_WITH
0,9.0,262,CO_OCCUR_WITH
262,9.0,0,CO_OCCUR_WITH
0,16.5,263,CO_OCCUR_WITH
263,16.5,0,CO_OCCUR_WITH
0,7.5,264,CO_OCCUR_WITH
264,7.5,0,CO_OCCUR_WITH
0,15.0,265,CO_OCCUR_WITH
265,15.0,0,CO_OCCUR_WITH
0,30.0,266,CO_OCCUR_WITH
266,30.0,0,CO_OCCUR_WITH
0,1.5,267,CO_OCCUR_WITH
267,1.5,0,CO_OCCUR_WITH
0,43.5,268,CO_OCCUR_WITH
268,43.5,0,CO_OCCUR_WITH
0,12.0,269,CO_OCCUR_WITH
269,12.0,0,CO_OCCUR_WITH
0,16.0,270,CO_OCCUR_WITH
270,16.0,0,CO_OCCUR_WITH
0,7.0,271,CO_OCCUR_WITH
271,7.0,0,CO_OCCUR_WITH
0,13.5,272,CO_OCCUR_WITH
272,13.5,0,CO_OCCUR_WITH
0,43.0,273,CO_OCCUR_WITH
273,43.0,0,CO_OCCUR_WITH
0,10.5,274,CO_OCCUR_WITH
274,10.5,0,CO_OCCUR_WITH
0,14.0,275,CO_OCCUR_WITH
275,14.0,0,CO_OCCUR_WITH
0,22.5,276,CO_OCCUR_WITH
276,22.5,0,CO_OCCUR_WITH
0,43.0,277,CO_OCCUR_WITH
277,43.0,0,CO_OCCUR_WITH
0,27.5,278,CO_OCCUR_WITH
278,27.5,0,CO_OCCUR_WITH
0,21.0,279,CO_OCCUR_WITH
279,21.0,0,CO_OCCUR_WITH
0,17.5,280,CO_OCCUR_WITH
280,17.5,0,CO_OCCUR_WITH
0,8.5,281,CO_OCCUR_WITH
281,8.5,0,CO_OCCUR_WITH
0,13.0,282,CO_OCCUR_WITH
282,13.0,0,CO_OCCUR_WITH
0,16.0,283,CO_OCCUR_WITH
283,16.0,0,CO_OCCUR_WITH
0,10.0,284,CO_OCCUR_WITH
284,10.0,0,CO_OCCUR_WITH
0,29.0,285,CO_OCCUR_WITH
285,29.0,0,CO_OCCUR_WITH
0,28.0,286,CO_OCCUR_WITH
286,28.0,0,CO_OCCUR_WITH
0,7.0,287,CO_OCCUR_WITH
287,7.0,0,CO_OCCUR_WITH
0,11.0,288,CO_OCCUR_WITH
288,11.0,0,CO_OCCUR_WITH
0,9.5,289,CO_OCCUR_WITH
